Iteration	Posterior	Likelihood	Prior	distance_scale	extirpation_rate	log10_rate_bg	rate_bg
2410	-33.8704	-21.76	-12.1104	0.01	4.672332	-2.209931	0.006166927
2420	-30.035	-23.3142	-6.7208	0.01	1.848405	-1.893071	0.01279172
2430	-29.5693	-23.4204	-6.14892	0.01	1.579893	-2.396173	0.004016311
2440	-28.9846	-24.2126	-4.77206	0.01	0.6432408	-2.527889	0.002965588
2450	-29.7115	-23.0032	-6.70831	0.01	1.842568	-2.010709	0.009756437
2460	-29.7834	-24.8745	-4.90883	0.01	0.9001127	-2.791043	0.00161792
2470	-30.5006	-22.6672	-7.83334	0.01	2.372543	-1.968829	0.01074412
2480	-28.659	-23.7747	-4.88426	0.01	0.8789232	-2.369025	0.004275383
2490	-30.0209	-23.5001	-6.52085	0.01	1.754942	-2.45942	0.003472002
2500	-28.9912	-24.103	-4.88822	0.01	0.5352955	-2.430144	0.003714124
2510	-28.988	-24.0902	-4.89782	0.01	0.530274	-2.418105	0.003818521
2520	-29.4761	-24.7077	-4.76838	0.01	0.6534429	-2.714531	0.00192961
2530	-29.3436	-24.1045	-5.23915	0.01	0.4219851	-2.274575	0.005314036
2540	-28.61	-23.7796	-4.83039	0.01	0.8254506	-2.342738	0.004542153
2550	-28.7551	-23.4235	-5.33168	0.01	1.171288	-2.210261	0.006162242
2560	-29.0594	-24.1461	-4.91329	0.01	0.9038099	-2.556575	0.002776036
2570	-28.9428	-23.951	-4.99182	0.01	0.9637122	-1.98773	0.01028656
2580	-28.6835	-23.8186	-4.86484	0.01	0.8610019	-2.082699	0.008266107
2590	-30.4446	-22.964	-7.48059	0.01	2.204747	-2.324997	0.00473155
2600	-29.1204	-24.2831	-4.83726	0.01	0.8330337	-2.595258	0.002539463
2610	-31.219	-22.3039	-8.91511	0.01	2.903167	-2.131249	0.007391816
2620	-28.6473	-23.52	-5.12727	0.01	1.052961	-2.184792	0.006534432
2630	-31.7557	-22.7454	-9.01036	0.01	2.951271	-1.810204	0.01548089
2640	-32.2709	-26.8453	-5.42559	0.01	1.221964	-3.296495	0.0005052488
2650	-29.2482	-23.5808	-5.66746	0.01	1.346319	-2.415039	0.003845575
2660	-29.9428	-23.4004	-6.54238	0.01	1.765012	-1.89204	0.01282213
